#,ingredient_name,serving_quantity,serving_unit,serving_weight_grams,sugar_mg,iron_mg,calcium_mg,sodium_mg,protein_mg,cholesterol_mg,potassium_mg,lactose_mg,vitamin_C_mg,saturated_fat_mg,trans_fat_mg,dietary_fiber_mg,calories_kcal,alcohol_mg,magnesium_mg,zinc_mg
3052,sprinkles,1,tsp,4.02,2079.2,0.005,0.0368,0.0928,2.1,0,0.0657,0,0,84.4,29.3,7.2,21.1479,0,0.024,0.0007
3053,savory,1,tsp,1.4,0,0.5303,29.848,0.336,94.2,0,14.714,0,0.7,45.6,0,639.8,3.808,0,5.278,0.0602
3054,lo mein noodles,1,cups,136,3576.8,1.4552,28.56,584.8,6487.2,0,142.8,0,2.312,631,10.9,1768,164.56,0,19.04,0.4896
3055,wheat flour,1,cups,125,337.5,5.8,18.75,2.5,12912.5,0,133.75,0,0,193.8,0,3375,455,0,27.5,0.875
3056,chobani greek yogurt,5.3,oz,150,16290,0.18,148.5,49.5,12045,0,186,3750,0.45,154.5,0,1050,120,0,15,0.66
3057,cream of tarter,1,tsp,3,0,0.1116,0.24,1.56,0,0,495,0,0,0,0,6,7.74,0,0.06,0.0126
3058,waffles,1,"waffle, round (7"" dia)",75,0,1.7325,191.25,383.25,5925,51.75,119.25,0,0.3,2149.5,0,0,218.25,0,14.25,0.51
3059,bagel,1,medium bagel,105,8851.5,3.7485,229.95,443.1,11088,0,112.35,0,0,378,22.1,1680,277.2,0,30.45,0.8715
3060,rice wine,6,floz,174.6,0,0.1746,8.73,3.492,873,0,43.65,0,0,0,0,0,233.964,28110.6,10.476,0.0349
3061,puffed rice,1,cups,14,0,4.438,0.84,0.42,882,0,15.82,0,0,18.2,0,238,56.28,0,3.5,0.1442
3062,portabella mushroom,1,cups,86,2150,0.2666,2.58,7.74,1814.6,0,313.04,0,0,51.6,0,1118,18.92,0,0,0.4558
3063,cremini mushrooms,1,cups,87,1496.4,0.348,15.66,5.22,2175,0,389.76,0,0,12.2,0,522,19.14,0,7.83,0.957
3064,mustards,1,packets,5,46,0.0805,3.15,55.2,187,0,7.6,0,0.015,10.7,0.5,200,3,0,2.4,0.032
3065,unagi,3,oz,85,0,0.425,17,43.35,15674,107.1,231.2,0,1.53,2004.3,0,0,156.4,0,17,1.377
3066,jimmies,1,tsp,4.02,2079.2,0.005,0.0368,0.0928,2.1,0,0.0657,0,0,84.4,29.3,7.2,21.1479,0,0.024,0.0007
3067,coconut milk,1,cups,226,0,7.458,40.68,29.38,4565.2,0,497.2,0,2.26,42747.9,0,0,445.22,0,103.96,1.2656
3068,pretzels,1,oz,28.35,626.5,1.2984,7.6545,351.54,2846.3,0,63.2205,0,0.5954,110.9,1.1,963.9,108.864,0,8.2215,0.2948
3069,turkey leg,1,drumstick,275,0,4.345,44,308,77577.5,330,698.5,0,0,6344.3,250.3,0,541.75,0,66,11.605
3070,cracked freekeh,1,cups,243,243,2.3328,24.3,12.15,7484.4,0,165.24,0,0,102.1,0,10935,201.69,0,77.76,1.3851
3071,chinese rice wine,6,floz,174.6,0,0.1746,8.73,3.492,873,0,43.65,0,0,0,0,0,233.964,28110.6,10.476,0.0349
3072,powdered buttermilk,0.25,cups,30,14700,0.09,355.2,155.1,10290,20.7,477.6,0,1.71,1079.4,0,0,116.1,0,33,1.206
3073,grated carrots,1,cups,128,6067.2,0.384,42.24,88.32,1190.4,0,409.6,0,7.552,47.4,0,3584,52.48,0,15.36,0.3072
